[41, "#FirstRecord Crazy by Icehouse ...still love the  and the naband to this day\n"]
[51, "#iremember the school playing that Vitamin C  on the last day every year. (as we go on..we remember..all the times we..had together)\n"]
[61, "\"#musicmonday I &lt;3 my new ... I AM ANTHM!!  I'm gonna nap for lunch enjoy your day!!  good day sir\n"]
[63, "#musicmonday Ken Bruce is playing Mungo Jerry 'In the Summertime'. Perfect  for my day right now\n"]
[88, "\"&quot;And I know that we've still gotttttt time\n"]
[95, "&quot;costar&quot; is da best  day 26 evr sang\n"]
[114, "&quot;I wanna get so close to Him that its no big change on the day that Jesus calls me name&quot; Got that  stuck in my head\n"]
[139, "&quot;Remembering Sunday&quot; -All time L0w. Suh-weet   fave at the mo hehe\n"]
[197, "&quot;circo obama&quot; UGH! is it safe to say that @iamdiddy fck up day 26 ?! .. Willie &amp; Que can sooooo &quot;get it&quot;\n"]
[208, "\"... I think this  is in 3/4 time but ARGH I can't quite tell... Damn my talent of musical instinct\n"]
[245, ";is about to play my  for the first time audience style\n"]
[266, "@_memoria we'll have plenty of time to learn the new s. Haha that's so cute Jill. I mosdef told my parents about the  already.\n"]
[272, "@ work w/ stomach ache   of the day http://tiny.cc/LrjMz ..'njoy it!\n"]
[369, "\"@aliroves it's fathers day in the USA? wow it's not til september in Australia! and no\n"]
[388, "@AlanahC so the devil wears prada has a  called 'nickels is money too' and i think of u every time it plays\n"]
[580, "A day without cooper .  A sad day for sure.  But oh!  I will get so much done!\n"]
[612, "chillin after a LOOOONNNGGG day of   hella tired sleepy time zzzz\n"]
[656, "\"Had a lovely day of drinking\n"]
[663, "Has had a great time so far this summer! I don't think I'm going to play  anymore though\n"]
[667, "@DYNASTYLA24 me too! Four months is such a long time without\n"]
[694, "@imiebelanger You do? I want some heat for ! But I hope you enjoy your day as well.\n"]
[700, "I don't understand why there are students who do not even devote a single time studying. it shows in their exams. walking .  tsk\n"]
[749, "It's  time at the gym with the fellas.  Hopefully I won't pull a hamstring\n"]
[761, "\"It sux 2 know other moms r enjoying brunch &amp; quality time while I'm eating dinner I paid 4\n"]
[764, "\"lots of activities lined up on the warmest &amp; most beautiful day of '09. dog park\n"]
[765, "It's a busy day already! www.ideastorm.com and I am taxi for the kids....took my boys and one of their friends to  camp\n"]
[769, "It's time for some . The point is not so much in staying in shape as it's in not getting hurt too much\n"]
[778, "\"just played  for the first time in over a year.. man\n"]
[812, "Natalie's first day of Marist  camp  http://yfrog.com/5b943pj\n"]
[828, "So bloody tired from 3  games all in one day and AT Victoria.....I need sleep\n"]
[838, "R.I.P. Coach Daly. What an absolutely miserable day for .\n"]
[865, "watched  in english  time for the bathing suit and sun tanning!\n"]
[888, "\"Very sad time of the year for me\n"]
[898, "Wish I had time to make it to the CFI lecture tonight after\n"]
[935, "\"http://ping.fm/p/EeKYP - That's the last time I'm playing  in a while. I don't think I broke my ankle\n"]
[959, "long time not playing\n"]
[966, "\"my scapegoat is the late start I got on the day\n"]
[971, "now that the hockey &amp;  seasons are over its time to get serious about baseball...GO GIANTS!!!  (via @EricB5000) I second that!\n"]
[977, "omg today we had the sport day  i was soo tired. my leg hurts really bad! we played football  and we winned at   yay!!!\n"]
[993, "Today was a humling day at the gym. I realized just how much  is a team sport. I was there for 4 hours shooting tho.. Good day\n"]
[994, "\"tomorrow will be a busy day\n"]
[1027, "its such a sad day today.......and i hav nothing to do except for stupid over the summer  work!\n"]
[1030, "last day of ....\n"]
[1039, "\" i miss the seniors already. last day of\n"]
[1082, "#iremember the  playing that Vitamin C song on the last day every year. (as we go on..we remember..all the times we..had together)\n"]
[1086, "Takin me back 2 high  where our only worries were dance class praying it wasn't a ballet day &amp; havin the whole  love to hate\n"]
[1121, "#iremember when I was in  I used to have free samosas and dint pay for them every single time  had fun foolling the poor shopkeeper!\n"]
[1128, "\"(: One more day of  left  OHH\n"]
[1134, "*yawn* time to get ready for\n"]
[1137, ".. its been my 4th day here at home.. but im still sick. i didnt even go to  AGAIN!! i miss my friends..\n"]
[1141, "...... Wanting to go back to California. Last day of  tomorrow...\n"]
[1182, "@_Chelsea_Marie this time difference is crazy. You're so lucky haha! full day of  for me  London sucks.\n"]
[1186, "@_comtesse hate you so bad cuz I was thinking the same but high  was the time\n"]
[1194, ":'( another day in the shite hole called westfield  i predict another detention for games  Prefect duty at lunch too:/ stay home (Y)\n"]
[1229, "@30STMluva. I'm so depressed cuz today was the last day of ! This sucks soo much!\n"]
[1230, "@3BoysMommy oh my...I couldn't imagine high  these days... And think how trendy it will be by the time your little ones get there\n"]
[1245, "@3banana3 2morrow is tha first day of the last full week of  I'm kinda sad\n"]
[1266, "\"@abirtmo i've been well! how about you? ya i heard you guys were in town the day of your show\n"]
[1273, "\"@adam_lewis she starts high  next year  oh how time has flown\n"]
[1284, "@AlexAllTimeLow cries. wont get there in time after\n"]
[1285, "@adlinanur alahai penat macam first day of  pulak. selamat malam.\n"]
[1319, "@AlexAllTimeLow  finishes at 3pm &amp; public transport sucks here so by the time i get there the signing will be over  boo. JUNE 5!\n"]
[1336, "@ALLS_Garrett fun   fun...but at least you don't have to sit in  all day doing pointless work..i want to go home and go back to bed\n"]
[1353, "@AmyQcoocachoo ugh .. never go anywhere at that time of day when  lets out.   wine o'clock now?\n"]
[1374, "@annabadtzmaru u worked all day?!??!  ugh  again 2moro! &amp; i cant go to the party! i work until 7 that day ((\n"]
[1385, "@allieloves  fancy jumping off the observatory at  on study leave day with me?\n"]
[1400, "@ArmyWifeyDebbie I had not time to read that article today. I can imagine what it says from cover. I'm old ..big adjustment for me\n"]
[1408, "@ameym21 aww  did you have a good day at  at least?\n"]
[1414, "@aybmj i hate  too  and it's a long day tmr.\n"]
[1432, "@bdotscotts it was my last day of classes   high  is over\n"]
[1433, "@BariJ No I was a dental Assistant and a Receptionist in a dental practice. I wanted to go to Hygiene  a long time ago tho\n"]
[1452, "@bianca_maria cool ;) have a gr8 day too ;) and a good week too  i'm gonna go to  now (: beijos and ummarmungs ;) xxxx God blessU ;)\n"]
[1457, "@Blackberrygirl7 thank u I will - poor thing can't go 2 her last day of  2day\n"]
[1464, "@blue_intheface  dont u mean GOO Lakers?  last day of  tomorrow!!!\n"]
[1488, "@Boss_Cee Hope you have a good day at   Your almost done WoooHooo\n"]
[1530, "I won't see you at all tomorrow. Its work then s. Then sleep before more work. The one day a yr I should see you I won't...\n"]
[1538, "- What a wonderful way to waste a day  Watching both the Harold and Kumar s\n"]
[1633, "*sigh* Study study study. Wish I had more time to myself! I need a haircut. Having a few  marathons over the long weekend. Fun times\n"]
[1724, "@abobolufe i love you sooo much  that asian in the  made my day ms bolufeeee ;)\n"]
[1734, "\"@3WildBoys @Cinecism Totally agree what a waste of time\n"]
[1787, "@AhmNoHere Thanks! Didn't watch the .Wasn't able to decide. :-/ Hope you had a great time with your friends!\n"]
[1924, "@Ash_Pie wow...i remember when you got the call saying you had the job.  we went shopping and saw a  together the day before.\n"]
[1969, "@bearheadedgirl been watching the marathon all day with my kids. I love those s!\n"]
[1986, "\"@ben_stiller may22 has been marked in the calender a while taking me and the boys to see it for my mothers day gift\n"]
[1993, "@bettramos i slept around that time too. it's coz they show my fave shows in a row after the 10 pm .\n"]
[2019, "@AlexJanky its a good day for !  Go Rays says Tampa!\n"]
[2032, "@blind_ have a great day\n"]
[2039, "@CarlisleRCullen yes but no time for\n"]
[2079, "@jutecht btw...loved your  post...this is definitely best time of year...was disappointed red sox opener was rained out...\n"]
[2111, "@officialnjonas Wanna hang after your shows I'm going to this summer? Let's play some night time\n"]
[2147, "@therealcabbie DET in 6 back 2 back..but what's w/ the crazy time btwn Laker games tho?? this is a sad time..all that's lft is\n"]
[2176, "Aaahhhhh - the  day is finally over...off to Taco Bueno\n"]
[2184, "\"awful day at the  field... 1-4\n"]
[2188, "Bad  day for me. Everyone lost or got rained out.\n"]
[2191, "\"2 years to the day that my late fiance and I were jumped\n"]
[2197, "@alicejam  spent the day watchin bball and ... my mom  passed away several years ago from cancer....  glad yours was GREAT !\n"]
[2212, "Another day of  !\n"]
